Card #,Hero,Variation,Treatment,Weapon,Notation,Power,Athlete Inspiration,Play Cost,Play Ability
48,Cannon,First Edition,Base Set,Fire,,100,Rich Gannon,0,
49,Furnest,First Edition,Base Set,Fire,,95,Earnest Byner,0,
50,Hot Rod,First Edition,Base Set,Fire,,95,Rodney Hampton,0,
51,Golden Bullet,Tecmo Bowl,Base Set,Fire,,95,Matthew Golden,0,
52,Billiard,First Edition,Base Set,Fire,,95,Dalton Hillard,0,
53,Ryptillian,First Edition,Base Set,Fire,,95,Mark Rypien,0,
54,Flippa,First Edition,Base Set,Fire,,95,Flipper Anderson,0,
55,Slaughterhouse,First Edition,Base Set,Fire,,90,Webster Slaughter,0,
56,Hammer,First Edition,Base Set,Fire,,90,Omarion Hampton,0,
57,Majik Man,First Edition,Base Set,Fire,,90,Don Majkowski,0,
58,A Bear,First Edition,Base Set,Fire,,90,Bobby Hebert,0,
59,Moose,First Edition,Base Set,Fire,,90,Daryl Johnston,0,
60,Hillicopter,First Edition,Base Set,Fire,,90,Drew Hill,0,
61,Hands,First Edition,Base Set,Ice,,135,Jerry Rice,0,
62,Joe Cool,First Edition,Base Set,Ice,,135,Joe Montana,0,
63,Merlomes,Tecmo Bowl,Base Set,Ice,,135,Patrick Mahomes,0,
64,Dart-Board,Tecmo Bowl,Base Set,Ice,,135,Jaxson Dart,0,
65,Bison,Tecmo Bowl,Base Set,Ice,,135,Josh Allen,0,
66,Warp,Tecmo Bowl,Base Set,Ice,,135,Lamar Jackson,0,
67,Bayou,Tecmo Bowl,Base Set,Ice,,130,Ja'Marr Chase,0,
68,J-Jetts,Tecmo Bowl,Base Set,Ice,,130,Justin Jefferson,0,
69,Reindeer Hunter,First Edition,Base Set,Ice,,130,Myles Garrett,0,
70,Swervin’,First Edition,Base Set,Ice,,130,Michael Irvin,0,
71,MoD,First Edition,Base Set,Ice,,130,Reggie White,0,
72,Quads,First Edition,Base Set,Ice,,130,Saquon Barkley,0,
73,Darn Old,First Edition,Base Set,Ice,,125,Sam Darnold,0,
74,Phoenix,Tecmo Bowl,Base Set,Ice,,125,Bo Nix,0,
75,Jax-In-the-Box,First Edition,Base Set,Ice,,125,Jaxon Smith-Njigba,0,
76,Eagle-Eye,Tecmo Bowl,Base Set,Ice,,125,Jalen Hurts,0,
77,Shrouded,Tecmo Bowl,Base Set,Ice,,125,C.J. Stroud,0,
78,Myracle,First Edition,Base Set,Ice,,125,Jahmyr Gibbs,0,
79,Skatter,First Edition,Base Set,Ice,,120,Cam Skattebo,0,
80,Warden,Tecmo Bowl,Base Set,Ice,,120,Cam Ward,0,
81,Yeti,Tecmo Bowl,Base Set,Ice,,120,Travis Kelce,0,
82,BrockNess,Tecmo Bowl,Base Set,Ice,,120,Brock Bowers,0,
83,McArmyKnife,Tecmo Bowl,Base Set,Ice,,120,Christian McCaffrey,0,
84,Muffin Man,First Edition,Base Set,Ice,,120,Baker Mayfield,0,
85,Youngblood,First Edition,Base Set,Ice,,115,Bryce Young,0,
86,Switchblade,Tecmo Bowl,Base Set,Ice,,115,Travis Hunter,0,
87,McVillain,First Edition,Base Set,Ice,,115,Tetairoa McMillan,0,
88,Quarter Staff,First Edition,Base Set,Ice,,115,Matthew Stafford,0,
89,Judkernaught,First Edition,Base Set,Ice,,115,Quinshon Judkins,0,
90,Jeanetic,Tecmo Bowl,Base Set,Ice,,115,Ashton Jeanty,0,
91,Coinslot,First Edition,Base Set,Ice,,110,Daniel Jones,0,
92,Chanesaw,First Edition,Base Set,Ice,,110,Devon Achane,0,
93,Mr. Irrelevant,Tecmo Bowl,Base Set,Ice,,110,Brock Purdy,0,
94,Shadowstrike,First Edition,Base Set,Ice,,110,Davante Adams,0,
95,Shepherd,Tecmo Bowl,Base Set,Ice,,110,CeeDee Lamb,0,
96,Scary,Tecmo Bowl,Base Set,Ice,,110,Terry McLaurin,0,
97,Lawman,Tecmo Bowl,Base Set,Ice,,105,Trevor Lawrence,0,
98,Buttman,First Edition,Base Set,Ice,,105,Marion Butts,0,
99,Criscross,First Edition,Base Set,Ice,,105,Cris Carter,0,
100,Rockhead,First Edition,Base Set,Ice,,105,Chris Doleman,0,
101,Brawn,Tecmo Bowl,Base Set,Ice,,105,A.J. Brown,0,
102,DeVaulta,First Edition,Base Set,Ice,,105,DeVonta Smith,0,
103,Hot Sauce,First Edition,Base Set,Ice,,100,Sauce Gardener,0,
104,First Leap,First Edition,Base Set,Ice,,100,LeRoy Butler,0,
105,Friday,First Edition,Base Set,Ice,,100,Deebo Samuel,0,
106,Barreler,Tecmo Bowl,Base Set,Ice,,100,Cooper Kupp,0,
107,Watterslide,First Edition,Base Set,Ice,,100,Ricky Watters,0,
108,Cannon,First Edition,Base Set,Ice,,100,Rich Gannon,0,
109,Furnest,First Edition,Base Set,Ice,,95,Earnest Byner,0,
110,Hot Rod,First Edition,Base Set,Ice,,95,Rodney Hampton,0,
111,Golden Bullet,Tecmo Bowl,Base Set,Ice,,95,Matthew Golden,0,
112,Billiard,First Edition,Base Set,Ice,,95,Dalton Hillard,0,
113,Ryptillian,First Edition,Base Set,Ice,,95,Mark Rypien,0,
114,Flippa,First Edition,Base Set,Ice,,95,Flipper Anderson,0,
115,Slaughterhouse,First Edition,Base Set,Ice,,90,Webster Slaughter,0,
116,Hammer,First Edition,Base Set,Ice,,90,Omarion Hampton,0,
117,Majik Man,First Edition,Base Set,Ice,,90,Don Majkowski,0,
118,A Bear,First Edition,Base Set,Ice,,90,Bobby Hebert,0,
119,Moose,First Edition,Base Set,Ice,,90,Daryl Johnston,0,
120,Hillicopter,First Edition,Base Set,Ice,,90,Drew Hill,0,
121,Hands,First Edition,Base Set,Steel,,130,Jerry Rice,0,
122,Joe Cool,First Edition,Base Set,Steel,,130,Joe Montana,0,
123,Merlomes,Tecmo Bowl,Base Set,Steel,,130,Patrick Mahomes,0,
124,Dart-Board,Tecmo Bowl,Base Set,Steel,,130,Jaxson Dart,0,
125,Bison,Tecmo Bowl,Base Set,Steel,,130,Josh Allen,0,
126,Warp,Tecmo Bowl,Base Set,Steel,,130,Lamar Jackson,0,
127,Bayou,Tecmo Bowl,Base Set,Steel,,125,Ja'Marr Chase,0,
128,J-Jetts,Tecmo Bowl,Base Set,Steel,,125,Justin Jefferson,0,
129,Reindeer Hunter,First Edition,Base Set,Steel,,125,Myles Garrett,0,
130,Swervin’,First Edition,Base Set,Steel,,125,Michael Irvin,0,
131,MoD,First Edition,Base Set,Steel,,125,Reggie White,0,
132,Quads,First Edition,Base Set,Steel,,125,Saquon Barkley,0,
133,Darn Old,First Edition,Base Set,Steel,,120,Sam Darnold,0,
134,Phoenix,Tecmo Bowl,Base Set,Steel,,120,Bo Nix,0,
135,Jax-In-the-Box,First Edition,Base Set,Steel,,120,Jaxon Smith-Njigba,0,
136,Eagle-Eye,Tecmo Bowl,Base Set,Steel,,120,Jalen Hurts,0,
137,Shrouded,Tecmo Bowl,Base Set,Steel,,120,C.J. Stroud,0,
138,Myracle,First Edition,Base Set,Steel,,120,Jahmyr Gibbs,0,
139,Skatter,First Edition,Base Set,Steel,,115,Cam Skattebo,0,
140,Warden,Tecmo Bowl,Base Set,Steel,,115,Cam Ward,0,
141,Yeti,Tecmo Bowl,Base Set,Steel,,115,Travis Kelce,0,
142,BrockNess,Tecmo Bowl,Base Set,Steel,,115,Brock Bowers,0,
143,McArmyKnife,Tecmo Bowl,Base Set,Steel,,115,Christian McCaffrey,0,
144,Muffin Man,First Edition,Base Set,Steel,,115,Baker Mayfield,0,
145,Youngblood,First Edition,Base Set,Steel,,110,Bryce Young,0,
146,Switchblade,Tecmo Bowl,Base Set,Steel,,110,Travis Hunter,0,
147,McVillain,First Edition,Base Set,Steel,,110,Tetairoa McMillan,0,
148,Quarter Staff,First Edition,Base Set,Steel,,110,Matthew Stafford,0,
149,Judkernaught,First Edition,Base Set,Steel,,110,Quinshon Judkins,0,
150,Jeanetic,Tecmo Bowl,Base Set,Steel,,110,Ashton Jeanty,0,
151,Coinslot,First Edition,Base Set,Steel,,105,Daniel Jones,0,
152,Chanesaw,First Edition,Base Set,Steel,,105,Devon Achane,0,
153,Mr. Irrelevant,Tecmo Bowl,Base Set,Steel,,105,Brock Purdy,0,
154,Shadowstrike,First Edition,Base Set,Steel,,105,Davante Adams,0,
155,Shepherd,Tecmo Bowl,Base Set,Steel,,105,CeeDee Lamb,0,
156,Scary,Tecmo Bowl,Base Set,Steel,,105,Terry McLaurin,0,
157,Lawman,Tecmo Bowl,Base Set,Steel,,100,Trevor Lawrence,0,
158,Buttman,First Edition,Base Set,Steel,,100,Marion Butts,0,
159,Criscross,First Edition,Base Set,Steel,,100,Cris Carter,0,
160,Rockhead,First Edition,Base Set,Steel,,100,Chris Doleman,0,
161,Brawn,Tecmo Bowl,Base Set,Steel,,100,A.J. Brown,0,
162,DeVaulta,First Edition,Base Set,Steel,,100,DeVonta Smith,0,
163,Hot Sauce,First Edition,Base Set,Steel,,95,Sauce Gardener,0,
164,First Leap,First Edition,Base Set,Steel,,95,LeRoy Butler,0,
165,Friday,First Edition,Base Set,Steel,,95,Deebo Samuel,0,
166,Barreler,Tecmo Bowl,Base Set,Steel,,95,Cooper Kupp,0,
167,Watterslide,First Edition,Base Set,Steel,,95,Ricky Watters,0,
168,Cannon,First Edition,Base Set,Steel,,95,Rich Gannon,0,
169,Furnest,First Edition,Base Set,Steel,,90,Earnest Byner,0,
170,Hot Rod,First Edition,Base Set,Steel,,90,Rodney Hampton,0,
171,Golden Bullet,Tecmo Bowl,Base Set,Steel,,90,Matthew Golden,0,
172,Billiard,First Edition,Base Set,Steel,,90,Dalton Hillard,0,
173,Ryptillian,First Edition,Base Set,Steel,,90,Mark Rypien,0,
174,Flippa,First Edition,Base Set,Steel,,90,Flipper Anderson,0,
175,Slaughterhouse,First Edition,Base Set,Steel,,85,Webster Slaughter,0,
176,Hammer,First Edition,Base Set,Steel,,85,Omarion Hampton,0,
177,Majik Man,First Edition,Base Set,Steel,,85,Don Majkowski,0,
178,A Bear,First Edition,Base Set,Steel,,85,Bobby Hebert,0,
179,Moose,First Edition,Base Set,Steel,,85,Daryl Johnston,0,
180,Hillicopter,First Edition,Base Set,Steel,,85,Drew Hill,0,
181,Hands,First Edition,Base Set,Brawl,,120,Jerry Rice,0,
182,Joe Cool,First Edition,Base Set,Brawl,,120,Joe Montana,0,
183,Merlomes,Tecmo Bowl,Base Set,Brawl,,120,Patrick Mahomes,0,
184,Dart-Board,Tecmo Bowl,Base Set,Brawl,,120,Jaxson Dart,0,
185,Bison,Tecmo Bowl,Base Set,Brawl,,120,Josh Allen,0,
186,Warp,Tecmo Bowl,Base Set,Brawl,,120,Lamar Jackson,0,
187,Bayou,Tecmo Bowl,Base Set,Brawl,,115,Ja'Marr Chase,0,
188,J-Jetts,Tecmo Bowl,Base Set,Brawl,,115,Justin Jefferson,0,
189,Reindeer Hunter,First Edition,Base Set,Brawl,,115,Myles Garrett,0,
190,Swervin’,First Edition,Base Set,Brawl,,115,Michael Irvin,0,
191,MoD,First Edition,Base Set,Brawl,,115,Reggie White,0,
192,Quads,First Edition,Base Set,Brawl,,115,Saquon Barkley,0,
193,Darn Old,First Edition,Base Set,Brawl,,110,Sam Darnold,0,
194,Phoenix,Tecmo Bowl,Base Set,Brawl,,110,Bo Nix,0,
195,Jax-In-the-Box,First Edition,Base Set,Brawl,,110,Jaxon Smith-Njigba,0,
196,Eagle-Eye,Tecmo Bowl,Base Set,Brawl,,110,Jalen Hurts,0,
197,Shrouded,Tecmo Bowl,Base Set,Brawl,,110,C.J. Stroud,0,
198,Myracle,First Edition,Base Set,Brawl,,110,Jahmyr Gibbs,0,
199,Skatter,First Edition,Base Set,Brawl,,105,Cam Skattebo,0,
200,Warden,Tecmo Bowl,Base Set,Brawl,,105,Cam Ward,0,
201,Yeti,Tecmo Bowl,Base Set,Brawl,,105,Travis Kelce,0,
202,BrockNess,Tecmo Bowl,Base Set,Brawl,,105,Brock Bowers,0,
203,McArmyKnife,Tecmo Bowl,Base Set,Brawl,,105,Christian McCaffrey,0,
204,Muffin Man,First Edition,Base Set,Brawl,,105,Baker Mayfield,0,
205,Youngblood,First Edition,Base Set,Brawl,,100,Bryce Young,0,
206,Switchblade,Tecmo Bowl,Base Set,Brawl,,100,Travis Hunter,0,
207,McVillain,First Edition,Base Set,Brawl,,100,Tetairoa McMillan,0,
208,Quarter Staff,First Edition,Base Set,Brawl,,100,Matthew Stafford,0,
209,Judkernaught,First Edition,Base Set,Brawl,,100,Quinshon Judkins,0,
210,Jeanetic,Tecmo Bowl,Base Set,Brawl,,100,Ashton Jeanty,0,
211,Coinslot,First Edition,Base Set,Brawl,,95,Daniel Jones,0,
212,Chanesaw,First Edition,Base Set,Brawl,,95,Devon Achane,0,
213,Mr. Irrelevant,Tecmo Bowl,Base Set,Brawl,,95,Brock Purdy,0,
214,Shadowstrike,First Edition,Base Set,Brawl,,95,Davante Adams,0,
215,Shepherd,Tecmo Bowl,Base Set,Brawl,,95,CeeDee Lamb,0,
216,Scary,Tecmo Bowl,Base Set,Brawl,,95,Terry McLaurin,0,
217,Lawman,Tecmo Bowl,Base Set,Brawl,,90,Trevor Lawrence,0,
218,Buttman,First Edition,Base Set,Brawl,,90,Marion Butts,0,
219,Criscross,First Edition,Base Set,Brawl,,90,Cris Carter,0,
220,Rockhead,First Edition,Base Set,Brawl,,90,Chris Doleman,0,
221,Brawn,Tecmo Bowl,Base Set,Brawl,,90,A.J. Brown,0,
222,DeVaulta,First Edition,Base Set,Brawl,,90,DeVonta Smith,0,
223,Hot Sauce,First Edition,Base Set,Brawl,,85,Sauce Gardener,0,
224,First Leap,First Edition,Base Set,Brawl,,85,LeRoy Butler,0,
225,Friday,First Edition,Base Set,Brawl,,85,Deebo Samuel,0,
226,Barreler,Tecmo Bowl,Base Set,Brawl,,85,Cooper Kupp,0,
227,Watterslide,First Edition,Base Set,Brawl,,85,Ricky Watters,0,
228,Cannon,First Edition,Base Set,Brawl,,85,Rich Gannon,0,
229,Furnest,First Edition,Base Set,Brawl,,80,Earnest Byner,0,
230,Hot Rod,First Edition,Base Set,Brawl,,80,Rodney Hampton,0,
231,Golden Bullet,Tecmo Bowl,Base Set,Brawl,,80,Matthew Golden,0,
232,Billiard,First Edition,Base Set,Brawl,,80,Dalton Hillard,0,
233,Ryptillian,First Edition,Base Set,Brawl,,80,Mark Rypien,0,
234,Flippa,First Edition,Base Set,Brawl,,80,Flipper Anderson,0,
235,Slaughterhouse,First Edition,Base Set,Brawl,,75,Webster Slaughter,0,
236,Hammer,First Edition,Base Set,Brawl,,75,Omarion Hampton,0,
237,Majik Man,First Edition,Base Set,Brawl,,75,Don Majkowski,0,
238,A Bear,First Edition,Base Set,Brawl,,75,Bobby Hebert,0,
239,Moose,First Edition,Base Set,Brawl,,75,Daryl Johnston,0,
240,Hillicopter,First Edition,Base Set,Brawl,,75,Drew Hill,0,
BF1,Hands,First Edition,Battlefoil,Hex,,185,Jerry Rice,0,
BF2,Joe Cool,First Edition,Battlefoil,Hex,,185,Joe Montana,0,
BF3,Merlomes,Tecmo Bowl,Battlefoil,Hex,,185,Patrick Mahomes,0,
BF4,Dart-Board,Tecmo Bowl,Battlefoil,Hex,,185,Jaxson Dart,0,
BF5,Bison,Tecmo Bowl,Battlefoil,Hex,,185,Josh Allen,0,
BF6,Warp,Tecmo Bowl,Battlefoil,Hex,,185,Lamar Jackson,0,
BF7,Bayou,Tecmo Bowl,Battlefoil,Hex,,180,Ja'Marr Chase,0,
BF8,J-Jetts,Tecmo Bowl,Battlefoil,Hex,,180,Justin Jefferson,0,
BF9,Reindeer Hunter,First Edition,Battlefoil,Hex,,180,Myles Garrett,0,
BF10,Swervin’,First Edition,Battlefoil,Hex,,180,Michael Irvin,0,
BF11,MoD,First Edition,Battlefoil,Hex,,180,Reggie White,0,
BF12,Quads,First Edition,Battlefoil,Hex,,180,Saquon Barkley,0,
BF13,Darn Old,First Edition,Battlefoil,Hex,,175,Sam Darnold,0,
BF14,Phoenix,Tecmo Bowl,Battlefoil,Hex,,175,Bo Nix,0,
BF15,Jax-In-the-Box,First Edition,Battlefoil,Hex,,175,Jaxon Smith-Njigba,0,
BF16,Eagle-Eye,Tecmo Bowl,Battlefoil,Hex,,175,Jalen Hurts,0,
BF17,Shrouded,Tecmo Bowl,Battlefoil,Hex,,175,C.J. Stroud,0,
BF18,Myracle,First Edition,Battlefoil,Hex,,175,Jahmyr Gibbs,0,
BF19,Skatter,First Edition,Battlefoil,Hex,,170,Cam Skattebo,0,
BF20,Warden,Tecmo Bowl,Battlefoil,Hex,,170,Cam Ward,0,
BF21,Yeti,Tecmo Bowl,Battlefoil,Hex,,170,Travis Kelce,0,
BF22,BrockNess,Tecmo Bowl,Battlefoil,Hex,,170,Brock Bowers,0,
BF23,McArmyKnife,Tecmo Bowl,Battlefoil,Hex,,170,Christian McCaffrey,0,
BF24,Muffin Man,First Edition,Battlefoil,Hex,,170,Baker Mayfield,0,
BF25,Youngblood,First Edition,Battlefoil,Hex,,165,Bryce Young,0,
BF26,Switchblade,Tecmo Bowl,Battlefoil,Hex,,165,Travis Hunter,0,
BF27,McVillain,First Edition,Battlefoil,Hex,,165,Tetairoa McMillan,0,
BF28,Quarter Staff,First Edition,Battlefoil,Hex,,165,Matthew Stafford,0,
BF29,Judkernaught,First Edition,Battlefoil,Hex,,165,Quinshon Judkins,0,
BF30,Jeanetic,Tecmo Bowl,Battlefoil,Hex,,165,Ashton Jeanty,0,
BF31,Coinslot,First Edition,Battlefoil,Hex,,160,Daniel Jones,0,
BF32,Chanesaw,First Edition,Battlefoil,Hex,,160,Devon Achane,0,
BF33,Mr. Irrelevant,Tecmo Bowl,Battlefoil,Hex,,160,Brock Purdy,0,
BF34,Shadowstrike,First Edition,Battlefoil,Hex,,160,Davante Adams,0,
BF35,Shepherd,Tecmo Bowl,Battlefoil,Hex,,160,CeeDee Lamb,0,
BF36,Scary,Tecmo Bowl,Battlefoil,Hex,,160,Terry McLaurin,0,
BF37,Lawman,Tecmo Bowl,Battlefoil,Hex,,155,Trevor Lawrence,0,
BF38,Buttman,First Edition,Battlefoil,Hex,,155,Marion Butts,0,
BF39,Criscross,First Edition,Battlefoil,Hex,,155,Cris Carter,0,
BF40,Rockhead,First Edition,Battlefoil,Hex,,155,Chris Doleman,0,
BF41,Brawn,Tecmo Bowl,Battlefoil,Hex,,155,A.J. Brown,0,
BF42,DeVaulta,First Edition,Battlefoil,Hex,,155,DeVonta Smith,0,
BF43,Hot Sauce,First Edition,Battlefoil,Hex,,150,Sauce Gardener,0,
BF44,First Leap,First Edition,Battlefoil,Hex,,150,LeRoy Butler,0,
BF45,Friday,First Edition,Battlefoil,Hex,,150,Deebo Samuel,0,
BF46,Barreler,Tecmo Bowl,Battlefoil,Hex,,150,Cooper Kupp,0,
BF47,Watterslide,First Edition,Battlefoil,Hex,,150,Ricky Watters,0,
BF48,Cannon,First Edition,Battlefoil,Hex,,150,Rich Gannon,0,
BF49,Furnest,First Edition,Battlefoil,Hex,,145,Earnest Byner,0,
BF50,Hot Rod,First Edition,Battlefoil,Hex,,145,Rodney Hampton,0,
BF51,Golden Bullet,Tecmo Bowl,Battlefoil,Hex,,145,Matthew Golden,0,
BF52,Billiard,First Edition,Battlefoil,Hex,,145,Dalton Hillard,0,
BF53,Ryptillian,First Edition,Battlefoil,Hex,,145,Mark Rypien,0,
BF54,Flippa,First Edition,Battlefoil,Hex,,145,Flipper Anderson,0,
BF55,Slaughterhouse,First Edition,Battlefoil,Hex,,140,Webster Slaughter,0,
BF56,Hammer,First Edition,Battlefoil,Hex,,140,Omarion Hampton,0,
BF57,Majik Man,First Edition,Battlefoil,Hex,,140,Don Majkowski,0,
BF58,A Bear,First Edition,Battlefoil,Hex,,140,Bobby Hebert,0,
BF59,Moose,First Edition,Battlefoil,Hex,,140,Daryl Johnston,0,
BF60,Hillicopter,First Edition,Battlefoil,Hex,,140,Drew Hill,0,
BF61,Hands,First Edition,Battlefoil,Glow,,140,Jerry Rice,0,
BF62,Joe Cool,First Edition,Battlefoil,Glow,,140,Joe Montana,0,
BF63,Merlomes,Tecmo Bowl,Battlefoil,Glow,,140,Patrick Mahomes,0,
BF64,Dart-Board,Tecmo Bowl,Battlefoil,Glow,,140,Jaxson Dart,0,
BF65,Bison,Tecmo Bowl,Battlefoil,Glow,,140,Josh Allen,0,
BF66,Warp,Tecmo Bowl,Battlefoil,Glow,,140,Lamar Jackson,0,
BF67,Bayou,Tecmo Bowl,Battlefoil,Glow,,135,Ja'Marr Chase,0,
BF68,J-Jetts,Tecmo Bowl,Battlefoil,Glow,,135,Justin Jefferson,0,
BF69,Reindeer Hunter,First Edition,Battlefoil,Glow,,135,Myles Garrett,0,
BF70,Swervin’,First Edition,Battlefoil,Glow,,135,Michael Irvin,0,
BF71,MoD,First Edition,Battlefoil,Glow,,135,Reggie White,0,
BF72,Quads,First Edition,Battlefoil,Glow,,135,Saquon Barkley,0,
BF73,Darn Old,First Edition,Battlefoil,Glow,,130,Sam Darnold,0,
BF74,Phoenix,Tecmo Bowl,Battlefoil,Glow,,130,Bo Nix,0,
BF75,Jax-In-the-Box,First Edition,Battlefoil,Glow,,130,Jaxon Smith-Njigba,0,
BF76,Eagle-Eye,Tecmo Bowl,Battlefoil,Glow,,130,Jalen Hurts,0,
BF77,Shrouded,Tecmo Bowl,Battlefoil,Glow,,130,C.J. Stroud,0,
BF78,Myracle,First Edition,Battlefoil,Glow,,130,Jahmyr Gibbs,0,
BF79,Skatter,First Edition,Battlefoil,Glow,,125,Cam Skattebo,0,
BF80,Warden,Tecmo Bowl,Battlefoil,Glow,,125,Cam Ward,0,
BF81,Yeti,Tecmo Bowl,Battlefoil,Glow,,125,Travis Kelce,0,
BF82,BrockNess,Tecmo Bowl,Battlefoil,Glow,,125,Brock Bowers,0,
BF83,McArmyKnife,Tecmo Bowl,Battlefoil,Glow,,125,Christian McCaffrey,0,
BF84,Muffin Man,First Edition,Battlefoil,Glow,,125,Baker Mayfield,0,
BF85,Youngblood,First Edition,Battlefoil,Glow,,120,Bryce Young,0,
BF86,Switchblade,Tecmo Bowl,Battlefoil,Glow,,120,Travis Hunter,0,
BF87,McVillain,First Edition,Battlefoil,Glow,,120,Tetairoa McMillan,0,
BF88,Quarter Staff,First Edition,Battlefoil,Glow,,120,Matthew Stafford,0,
BF89,Judkernaught,First Edition,Battlefoil,Glow,,120,Quinshon Judkins,0,
BF90,Jeanetic,Tecmo Bowl,Battlefoil,Glow,,120,Ashton Jeanty,0,
BF91,Coinslot,First Edition,Battlefoil,Glow,,115,Daniel Jones,0,
BF92,Chanesaw,First Edition,Battlefoil,Glow,,115,Devon Achane,0,
BF93,Mr. Irrelevant,Tecmo Bowl,Battlefoil,Glow,,115,Brock Purdy,0,
BF94,Shadowstrike,First Edition,Battlefoil,Glow,,115,Davante Adams,0,
BF95,Shepherd,Tecmo Bowl,Battlefoil,Glow,,115,CeeDee Lamb,0,
BF96,Scary,Tecmo Bowl,Battlefoil,Glow,,115,Terry McLaurin,0,
BF97,Lawman,Tecmo Bowl,Battlefoil,Glow,,110,Trevor Lawrence,0,
BF98,Buttman,First Edition,Battlefoil,Glow,,110,Marion Butts,0,
BF99,Criscross,First Edition,Battlefoil,Glow,,110,Cris Carter,0,
BF100,Rockhead,First Edition,Battlefoil,Glow,,110,Chris Doleman,0,
BF101,Brawn,Tecmo Bowl,Battlefoil,Glow,,110,A.J. Brown,0,
BF102,DeVaulta,First Edition,Battlefoil,Glow,,110,DeVonta Smith,0,
BF103,Hot Sauce,First Edition,Battlefoil,Glow,,105,Sauce Gardener,0,
BF104,First Leap,First Edition,Battlefoil,Glow,,105,LeRoy Butler,0,
BF105,Friday,First Edition,Battlefoil,Glow,,105,Deebo Samuel,0,
BF106,Barreler,Tecmo Bowl,Battlefoil,Glow,,105,Cooper Kupp,0,
BF107,Watterslide,First Edition,Battlefoil,Glow,,105,Ricky Watters,0,
